"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Supervivencia","edat"
1,"0","3","male",22,1,0,7.25,"S","No_Survived","21-30"
2,"1","1","female",38,1,0,71.2833,"C","Survived","31-40"
3,"1","3","female",26,0,0,7.925,"S","Survived","21-30"
4,"1","1","female",35,1,0,53.1,"S","Survived","31-40"
5,"0","3","male",35,0,0,8.05,"S","No_Survived","31-40"
6,"0","3","male",29,0,0,8.4583,"Q","No_Survived","21-30"
7,"0","1","male",54,0,0,51.8625,"S","No_Survived","51-60"
8,"0","3","male",2,3,1,21.075,"S","No_Survived","0-20"
9,"1","3","female",27,0,2,11.1333,"S","Survived","21-30"
10,"1","2","female",14,1,0,30.0708,"C","Survived","0-20"
11,"1","3","female",4,1,1,16.7,"S","Survived","0-20"
12,"1","1","female",58,0,0,26.55,"S","Survived","51-60"
13,"0","3","male",20,0,0,8.05,"S","No_Survived","0-20"
14,"0","3","male",39,1,5,31.275,"S","No_Survived","31-40"
15,"0","3","female",14,0,0,7.8542,"S","No_Survived","0-20"
16,"1","2","female",55,0,0,16,"S","Survived","51-60"
17,"0","3","male",2,4,1,29.125,"Q","No_Survived","0-20"
18,"1","2","male",29,0,0,13,"S","Survived","21-30"
19,"0","3","female",31,1,0,18,"S","No_Survived","31-40"
20,"1","3","female",29,0,0,7.225,"C","Survived","21-30"
21,"0","2","male",35,0,0,26,"S","No_Survived","31-40"
22,"1","2","male",34,0,0,13,"S","Survived","31-40"
23,"1","3","female",15,0,0,8.0292,"Q","Survived","0-20"
24,"1","1","male",28,0,0,35.5,"S","Survived","21-30"
25,"0","3","female",8,3,1,21.075,"S","No_Survived","0-20"
26,"1","3","female",38,1,5,31.3875,"S","Survived","31-40"
27,"0","3","male",29,0,0,7.225,"C","No_Survived","21-30"
28,"0","1","male",19,3,2,263,"S","No_Survived","0-20"
29,"1","3","female",29,0,0,7.8792,"Q","Survived","21-30"
30,"0","3","male",29,0,0,7.8958,"S","No_Survived","21-30"
31,"0","1","male",40,0,0,27.7208,"C","No_Survived","31-40"
32,"1","1","female",29,1,0,146.5208,"C","Survived","21-30"
33,"1","3","female",29,0,0,7.75,"Q","Survived","21-30"
34,"0","2","male",66,0,0,10.5,"S","No_Survived","61-70"
35,"0","1","male",28,1,0,82.1708,"C","No_Survived","21-30"
36,"0","1","male",42,1,0,52,"S","No_Survived","41-50"
37,"1","3","male",29,0,0,7.2292,"C","Survived","21-30"
38,"0","3","male",21,0,0,8.05,"S","No_Survived","21-30"
39,"0","3","female",18,2,0,18,"S","No_Survived","0-20"
40,"1","3","female",14,1,0,11.2417,"C","Survived","0-20"
41,"0","3","female",40,1,0,9.475,"S","No_Survived","31-40"
42,"0","2","female",27,1,0,21,"S","No_Survived","21-30"
43,"0","3","male",29,0,0,7.8958,"C","No_Survived","21-30"
44,"1","2","female",3,1,2,41.5792,"C","Survived","0-20"
45,"1","3","female",19,0,0,7.8792,"Q","Survived","0-20"
46,"0","3","male",29,0,0,8.05,"S","No_Survived","21-30"
47,"0","3","male",29,1,0,15.5,"Q","No_Survived","21-30"
48,"1","3","female",29,0,0,7.75,"Q","Survived","21-30"
49,"0","3","male",29,2,0,21.6792,"C","No_Survived","21-30"
50,"0","3","female",18,1,0,17.8,"S","No_Survived","0-20"
51,"0","3","male",7,4,1,39.6875,"S","No_Survived","0-20"
52,"0","3","male",21,0,0,7.8,"S","No_Survived","21-30"
53,"1","1","female",49,1,0,76.7292,"C","Survived","41-50"
54,"1","2","female",29,1,0,26,"S","Survived","21-30"
55,"0","1","male",65,0,1,61.9792,"C","No_Survived","61-70"
56,"1","1","male",29,0,0,35.5,"S","Survived","21-30"
57,"1","2","female",21,0,0,10.5,"S","Survived","21-30"
58,"0","3","male",28,0,0,7.2292,"C","No_Survived","21-30"
59,"1","2","female",5,1,2,27.75,"S","Survived","0-20"
60,"0","3","male",11,5,2,46.9,"S","No_Survived","0-20"
61,"0","3","male",22,0,0,7.2292,"C","No_Survived","21-30"
62,"1","1","female",38,0,0,80,"S","Survived","31-40"
63,"0","1","male",45,1,0,83.475,"S","No_Survived","41-50"
64,"0","3","male",4,3,2,27.9,"S","No_Survived","0-20"
65,"0","1","male",29,0,0,27.7208,"C","No_Survived","21-30"
66,"1","3","male",29,1,1,15.2458,"C","Survived","21-30"
67,"1","2","female",29,0,0,10.5,"S","Survived","21-30"
68,"0","3","male",19,0,0,8.1583,"S","No_Survived","0-20"
69,"1","3","female",17,4,2,7.925,"S","Survived","0-20"
70,"0","3","male",26,2,0,8.6625,"S","No_Survived","21-30"
71,"0","2","male",32,0,0,10.5,"S","No_Survived","31-40"
72,"0","3","female",16,5,2,46.9,"S","No_Survived","0-20"
73,"0","2","male",21,0,0,73.5,"S","No_Survived","21-30"
74,"0","3","male",26,1,0,14.4542,"C","No_Survived","21-30"
75,"1","3","male",32,0,0,56.4958,"S","Survived","31-40"
76,"0","3","male",25,0,0,7.65,"S","No_Survived","21-30"
77,"0","3","male",29,0,0,7.8958,"S","No_Survived","21-30"
78,"0","3","male",29,0,0,8.05,"S","No_Survived","21-30"
79,"1","2","male",0,0,2,29,"S","Survived",NA
80,"1","3","female",30,0,0,12.475,"S","Survived","21-30"
81,"0","3","male",22,0,0,9,"S","No_Survived","21-30"
82,"1","3","male",29,0,0,9.5,"S","Survived","21-30"
83,"1","3","female",29,0,0,7.7875,"Q","Survived","21-30"
84,"0","1","male",28,0,0,47.1,"S","No_Survived","21-30"
85,"1","2","female",17,0,0,10.5,"S","Survived","0-20"
86,"1","3","female",33,3,0,15.85,"S","Survived","31-40"
87,"0","3","male",16,1,3,34.375,"S","No_Survived","0-20"
88,"0","3","male",29,0,0,8.05,"S","No_Survived","21-30"
89,"1","1","female",23,3,2,263,"S","Survived","21-30"
90,"0","3","male",24,0,0,8.05,"S","No_Survived","21-30"
91,"0","3","male",29,0,0,8.05,"S","No_Survived","21-30"
92,"0","3","male",20,0,0,7.8542,"S","No_Survived","0-20"
93,"0","1","male",46,1,0,61.175,"S","No_Survived","41-50"
94,"0","3","male",26,1,2,20.575,"S","No_Survived","21-30"
95,"0","3","male",59,0,0,7.25,"S","No_Survived","51-60"
96,"0","3","male",29,0,0,8.05,"S","No_Survived","21-30"
97,"0","1","male",71,0,0,34.6542,"C","No_Survived","71-80"
98,"1","1","male",23,0,1,63.3583,"C","Survived","21-30"
99,"1","2","female",34,0,1,23,"S","Survived","31-40"
100,"0","2","male",34,1,0,26,"S","No_Survived","31-40"
101,"0","3","female",28,0,0,7.8958,"S","No_Survived","21-30"
102,"0","3","male",29,0,0,7.8958,"S","No_Survived","21-30"
103,"0","1","male",21,0,1,77.2875,"S","No_Survived","21-30"
104,"0","3","male",33,0,0,8.6542,"S","No_Survived","31-40"
